date,comment_score,institution_participation,attention_index,current_rank,news_sentiment_score,news_count
2026-07-07,60.42972074,0.2865956,71.2,1789,-8,10
2026-07-08,80.99569595,0.4719708,71.2,26,7,10
2026-07-09,71.72396212,0.361054,88.0,462,7,10
2026-07-10,79.19010206,0.4107264,89.2,48,7,10
2026-07-13,69.60644062,0.3486956,90.0,527,7,10
2026-07-14,66.43698103,0.3271536,87.6,1516,2,10
2026-07-15,74.5783121,0.3720408,86.8,250,0,10
2026-07-17,69.32756285,0.3902388,89.2,373,-1,10
2026-07-20,79.4371177,0.382716,89.6,44,-1,10
2026-07-21,79.9437984,0.403472,90.4,30,-1,10
2026-07-22,74.73938154,0.4147164,90.8,192,0,10
2026-07-23,69.7046048,0.3696688,91.2,787,0,10
